epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.989959,4.93245,11.8626,0.77461,18.0593,5.39058,0,0,0,0,0,0,0,0,5.13905,11.7957,0.70683,12.3573,4.50141,0,0,0
2,2.38592,4.66788,11.9198,0.70216,9.51182,4.69471,0,0,0,0,0,0,0,0,5.11488,11.7954,0.70657,12.6207,4.42839,1.9604e-05,1.9604e-05,1.9604e-05
3,3.49018,3.79825,11.8198,0.74626,7.47896,3.61149,0,0,0,0,0,0,0,0,4.93138,11.8209,0.70655,12.4479,4.30472,3.8416e-05,3.8416e-05,3.8416e-05
4,4.90304,4.97573,11.8531,0.73544,9.57995,4.21018,0,0,0,0,0,0,0,0,4.5414,11.8166,0.70614,11.2912,4.02895,5.6436e-05,5.6436e-05,5.6436e-05
5,6.38294,4.46751,11.826,0.69361,6.61533,4.32899,0,0,0,0,0,0,0,0,4.43025,11.8861,0.70585,7.72319,3.8108,7.3664e-05,7.3664e-05,7.3664e-05
6,7.79385,4.24029,11.9664,0.71049,4.35363,4.11421,0,0,0,0,0,0,0,0,3.71278,11.9093,0.70556,5.35585,3.48416,9.01e-05,9.01e-05,9.01e-05
7,9.10437,4.23403,11.9834,0.71589,6.30527,4.03789,0,0,0,0,0,0,0,0,3.62986,11.9895,0.70512,4.12352,3.29306,0.000105744,0.000105744,0.000105744
8,10.5062,4.68754,11.9952,0.72079,3.15793,4.69789,0.07143,1,0.33167,0.06633,0,0,0,0,3.0144,11.9947,0.70483,3.78923,3.03249,0.000120596,0.000120596,0.000120596
9,11.8618,2.85143,11.9985,0.67553,4.20308,3.10059,0.0625,1,0.995,0.25101,0,0,0,0,2.35953,11.9982,0.70391,3.26428,2.81313,0.000134656,0.000134656,0.000134656
10,13.2369,3.2708,12,0.76281,3.94751,2.7663,0.04762,1,0.995,0.28192,0,0,0,0,1.84708,11.9983,0.70482,2.74576,2.66092,0.000147924,0.000147924,0.000147924
11,14.6762,3.0139,11.9952,0.66242,3.33187,3.21082,0.03571,1,0.995,0.33167,0,0,0,0,1.83253,11.9998,0.702,2.38486,2.47442,0.0001604,0.0001604,0.0001604
12,15.9628,3.55712,7.82595,0.71498,3.37404,3.1209,0.0497,1,0.4975,0.23217,0,0,0,0,1.66151,11.9999,0.70271,2.08366,2.41091,0.000172084,0.000172084,0.000172084
