epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2192.93,1.75953,2.29172,2.06392,1.17989,0.8417,0.66804,0.76748,0.50888,0.80529,0.64462,0.72454,0.40252,1.53109,1.94119,1.67733,0.95217,0.000472779,0.000472779,0.000472779
2,2359.69,1.2543,1.54692,0.94153,0.95377,0.89514,0.82024,0.89839,0.63683,0.86058,0.79464,0.86319,0.50441,1.32552,1.84204,0.90289,0.93449,0.000939716,0.000939716,0.000939716
3,2531.58,1.21954,1.47349,0.86721,0.94091,0.92646,0.85142,0.90852,0.64591,0.88312,0.7936,0.8524,0.48467,1.28281,1.96596,0.88069,0.9191,0.00139722,0.00139722,0.00139722
4,2702.04,1.18097,1.41239,0.80911,0.93513,0.89091,0.83818,0.89349,0.61415,0.83087,0.76507,0.80284,0.42988,1.4428,2.32559,0.90468,0.93964,0.00138656,0.00138656,0.00138656
5,2871.6,1.113,1.35346,0.75949,0.9265,0.91981,0.86213,0.90365,0.61349,0.85614,0.83954,0.8704,0.50997,1.36935,1.69098,0.83648,0.95129,0.00137241,0.00137241,0.00137241
6,3042.67,1.08048,1.32797,0.71212,0.91741,0.93533,0.866,0.91266,0.64257,0.87363,0.8251,0.87584,0.54157,1.32588,1.74261,0.76127,0.90399,0.00135826,0.00135826,0.00135826
7,3213.12,1.08508,1.29871,0.70119,0.91562,0.92891,0.8544,0.92168,0.66574,0.86487,0.76373,0.82217,0.47017,1.22032,1.74305,0.8246,0.90426,0.00134412,0.00134412,0.00134412
8,3384.1,1.02802,1.26194,0.66725,0.90167,0.78223,0.82007,0.86815,0.5961,0.83001,0.73227,0.8366,0.51974,1.29797,1.68816,0.91317,0.9182,0.00132997,0.00132997,0.00132997
9,3558.78,1.00981,1.23949,0.64108,0.89461,0.96002,0.87963,0.93616,0.69886,0.87256,0.80678,0.85812,0.53087,1.17926,1.67679,0.66837,0.88078,0.00131582,0.00131582,0.00131582
10,3730.35,0.98735,1.21725,0.61351,0.89215,0.92952,0.86184,0.92072,0.69291,0.88197,0.80667,0.8664,0.54219,1.09326,1.67087,0.70398,0.88423,0.00130168,0.00130168,0.00130168
11,3901.79,1.00069,1.22868,0.62004,0.88946,0.95936,0.88724,0.93925,0.70894,0.8817,0.85315,0.88927,0.55515,1.16635,1.66794,0.6743,0.88349,0.00128753,0.00128753,0.00128753
12,4072.24,0.99119,1.20098,0.6074,0.88869,0.95451,0.90896,0.94471,0.71399,0.8861,0.84842,0.88476,0.55744,1.08436,1.74846,0.64234,0.88165,0.00127338,0.00127338,0.00127338
13,4244.83,0.92351,1.16806,0.58177,0.88556,0.95784,0.88885,0.93558,0.6737,0.89832,0.84119,0.88946,0.56351,1.17268,1.63664,0.66815,0.89466,0.00125923,0.00125923,0.00125923
14,4418.96,0.9498,1.19039,0.58923,0.88586,0.96501,0.89275,0.94128,0.69529,0.8807,0.83786,0.8748,0.54143,1.15431,1.70158,0.65438,0.88024,0.00124509,0.00124509,0.00124509
15,4594.08,0.94713,1.17313,0.58372,0.88474,0.9437,0.86845,0.9062,0.67644,0.90985,0.86021,0.9064,0.56905,1.3195,1.75591,0.71189,0.92256,0.00123094,0.00123094,0.00123094
